이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
쏘나타 뉴 라이즈,12500000,69,52000,가솔린,1591,12.8,전륜 FF,27,등록,현대,180,0
LF쏘나타 2.0,5300000,84,110500,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,4990000,113,129000,기타,1999,16.8,전륜 FF,27,등록,현대,191,0
쏘나타 더 브릴리언트,4200000,97,76000,LPG,1999,9.3,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,2500000,148,199000,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,3200000,141,141300,LPG,1999,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타,9400000,96,88941,디젤,1685,16.8,전륜 FF,34.7,등록,현대,141,0
쏘나타 더 브릴리언트,7000000,119,148259,LPG,1999,9.3,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,3200000,155,99337,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,2590000,147,109660,가솔린,1998,12.8,전륜 FF,20.2,등록,현대,165,0
YF쏘나타 2.0,3500000,135,128318,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타 2.0,6900000,100,47000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,9900000,100,113000,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,10900000,88,127000,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,12890000,73,64000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,25900000,46,81000,기타,1999,19.1,전륜 FF,27,등록,현대,195,1
LF쏘나타 2.0,8990000,104,117070,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 2.0,13990000,41,110579,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
YF쏘나타 2.0,4900000,151,116126,가솔린,1998,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 2.0,7990000,89,109235,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,7900000,106,93881,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 더 브릴리언트,4990000,132,110424,가솔린,1999,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 1.7,9900000,96,120739,디젤,1685,16.5,전륜 FF,34.7,등록,현대,141,0
YF쏘나타 2.0,4500000,166,136830,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타 2.0,6990000,86,156784,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 2.0,15990000,42,88373,LPG,1999,9.5,전륜 FF,19.5,등록,현대,146,1
LF쏘나타,10200000,62,141231,LPG,1999,9.5,전륜 FF,19.8,미등록,현대,151,0
쏘나타 하이브리드,28800000,25,65000,기타,1999,19.1,전륜 FF,27,등록,현대,195,1
YF쏘나타 2.0,5400000,142,164578,가솔린,1998,12.8,전륜 FF,37.1,등록,현대,271,0
쏘나타 뉴 라이즈,11400000,56,87003,LPG,1999,9.4,전륜 FF,19.8,등록,현대,151,1
NF쏘나타 트랜스폼,1700000,178,115000,LPG,1998,9,전륜 FF,19,등록,현대,141,0
YF쏘나타,3900000,154,137000,가솔린,1998,14,전륜 FF,20.5,미등록,현대,172,0
LF쏘나타,14500000,87,62224,가솔린,1998,10.8,전륜 FF,36,미등록,현대,245,0
쏘나타 뉴 라이즈,14500000,57,54649,LPG,1999,9.5,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,6300000,103,220500,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 1.6,19900000,27,59352,가솔린,1598,13.2,전륜 FF,27,등록,현대,180,1
LF쏘나타 2.0,14990000,88,53000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,14500000,84,47866,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 하이브리드,14400000,88,117828,기타,1999,12,전륜 FF,36,등록,현대,203,0
LF쏘나타,9990000,95,110528,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
쏘나타 뉴 라이즈,10000000,46,201920,LPG,1999,9.4,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,8990000,144,118546,기타,1999,21,전륜 FF,18.3,미등록,현대,150,0
LF쏘나타,11200000,85,100877,가솔린,1999,12.1,전륜 FF,20.5,미등록,현대,168,0
쏘나타,17890000,45,89909,LPG,1999,10.3,전륜 FF,19.5,등록,현대,146,1
NF쏘나타 2.0,1650000,197,207500,LPG,1998,12,전륜 FF,36,등록,현대,203,0
쏘나타,21000000,41,66700,가솔린,1999,12.9,전륜 FF,20,미등록,현대,160,1
NF쏘나타 트랜스폼,2500000,175,165000,LPG,1998,9,전륜 FF,19,등록,현대,141,0
LF쏘나타,14000000,101,108397,가솔린,2359,11.5,전륜 FF,25.5,미등록,현대,193,0
쏘나타 하이브리드,23900000,48,92481,기타,1999,20.1,전륜 FF,27,등록,현대,195,1
쏘나타 뉴 라이즈,20300000,37,1944,가솔린,1999,12,전륜 FF,20,미등록,현대,163,1
LF쏘나타,11300000,89,131392,LPG,1999,9.5,전륜 FF,19.8,미등록,현대,151,0
YF쏘나타,4300000,168,132000,LPG,1998,10.5,전륜 FF,20,미등록,현대,157,0
YF쏘나타,5700000,149,139000,가솔린,1998,12.8,전륜 FF,20.2,미등록,현대,165,0
LF쏘나타,12500000,103,71000,가솔린,1999,11.6,전륜 FF,20.5,미등록,현대,168,0
쏘나타 더 브릴리언트,7300000,129,108000,LPG,1999,9.3,전륜 FF,20,미등록,현대,157,0
더 뉴 아반떼 1.6,5500000,107,52465,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼AD,11300000,83,27000,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
더 뉴 아반떼AD,10690000,38,62177,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼MD,5900000,138,129462,가솔린,1591,12,전륜 FF,36,미등록,현대,203,0
아반떼AD,8500000,77,61917,디젤,1582,18.4,전륜 FF,26.5,등록,현대,136,0
올 뉴 아반떼 1.6,16000000,33,37519,가솔린,1598,12,전륜 FF,36,등록,현대,203,1
올 뉴 아반떼 1.6,16900000,30,69724,가솔린,1598,14.9,전륜 FF,15.7,등록,현대,123,1
올 뉴 아반떼 1.6,18400000,18,18784,가솔린,1598,12.8,전륜 FF,27,등록,현대,204,1
아반떼AD 1.6,9500000,51,41303,디젤,1582,18.4,전륜 FF,26.9,등록,현대,136,1
아반떼MD 1.6,4300000,123,106641,가솔린,1591,12,전륜 FF,36,등록,현대,203,0
올 뉴 아반떼 1.6,21700000,18,64680,가솔린,1598,12.8,전륜 FF,27,등록,현대,204,1
아반떼AD 1.6,10700000,79,104897,가솔린,1591,12,전륜 FF,26.9,등록,현대,204,0
올 뉴 아반떼,15200000,30,51667,가솔린,1598,12,전륜 FF,36,등록,현대,203,1
더 뉴 아반떼AD,13200000,38,13572,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
더 뉴 아반떼AD,14800000,31,45146,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
더 뉴 아반떼,5200000,114,120408,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼MD,4600000,125,166691,가솔린,1591,16.5,전륜 FF,17,등록,현대,140,0
더 뉴 아반떼AD 1.6,13400000,27,55020,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
더 뉴 아반떼 1.6,8800000,104,40219,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼AD,9900000,77,121762,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,0
아반떼AD,11500000,69,106802,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,1
더 뉴 아반떼,6990000,108,76300,가솔린,1582,16.2,전륜 FF,28.6,등록,현대,128,0
올 뉴 아반떼 1.6,23300000,32,20305,가솔린,1598,14.9,전륜 FF,15.7,등록,현대,123,1
올 뉴 아반떼 1.6,19990000,33,20709,가솔린,1598,15.4,전륜 FF,15.7,등록,현대,123,1
올 뉴 아반떼 1.6,20990000,31,17208,가솔린,1598,15.4,전륜 FF,15.7,등록,현대,123,1
더 뉴 아반떼AD 1.6,10990000,59,70230,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
더 뉴 아반떼AD 1.6,12990000,59,57601,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,8990000,63,108557,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,8990000,74,123846,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
더 뉴 아반떼AD 1.6,12990000,48,43002,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,11990000,41,94470,가솔린,1598,13.7,전륜 FF,16.3,등록,현대,132,1
더 뉴 아반떼AD 1.6,12500000,40,46287,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,7700000,62,119563,디젤,1582,18.4,전륜 FF,26.9,등록,현대,136,0
더 뉴 아반떼AD 1.6,12500000,59,39708,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,8800000,95,64024,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,10990000,96,35094,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
올 뉴 아반떼,2000000,11,10,가솔린,1598,15.4,전륜 FF,15.7,등록,현대,123,1
올 뉴 아반떼,2000000,11,15,가솔린,1598,15.4,전륜 FF,15.7,등록,현대,123,1
아반떼MD 1.6,4000000,141,100000,가솔린,1591,12,전륜 FF,36,등록,현대,203,0
아반떼 쿠페,7500000,115,51000,가솔린,1999,12.4,전륜 FF,21.3,등록,현대,175,0
아반떼MD 1.6,4500000,139,124000,가솔린,1591,16.5,전륜 FF,16.9,등록,현대,140,0
아반떼AD 1.6,7700000,72,64000,가솔린,1591,11.6,전륜 FF,36,등록,현대,203,1
아반떼AD 1.6,9500000,73,78000,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,4990000,94,139000,디젤,1582,18.4,전륜 FF,26.5,등록,현대,136,0
더 뉴 아반떼 1.6,7500000,120,130000,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼 N 2.0,31990000,1,10000,가솔린,1998,10.4,전륜 FF,40,등록,현대,280,1
아반떼AD 1.6,9990000,65,73284,가솔린,1591,12,전륜 FF,26.9,등록,현대,204,0
아반떼AD 1.6,6800000,75,59362,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼MD 1.6,2900000,136,108451,가솔린,1591,16.5,전륜 FF,16.9,등록,현대,140,0
아반떼 N 2.0,30500000,21,9700,가솔린,1998,10.4,전륜 FF,40,등록,현대,280,1
아반떼MD 1.6,2900000,130,92000,가솔린,1591,13.9,전륜 FF,16.9,등록,현대,140,0
아반떼MD 1.6,2990000,129,83000,가솔린,1591,12,전륜 FF,16.9,등록,현대,140,0
아반떼AD 1.6,9500000,72,9700,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,1
아반떼MD 1.6,2800000,156,138000,가솔린,1591,12,전륜 FF,36,등록,현대,203,0
아반떼MD 1.6,3990000,142,129880,가솔린,1591,16.5,전륜 FF,17,등록,현대,140,0
아반떼AD 1.6,6500000,74,21000,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,7700000,95,83248,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
더 뉴 아반떼 1.6,8500000,99,150000,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼MD 1.6,2990000,153,91435,가솔린,1591,16.5,전륜 FF,17,등록,현대,140,0
아반떼AD,9990000,95,50673,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,7890000,75,100586,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼MD 1.6,3500000,133,111689,가솔린,1591,13.9,전륜 FF,16.9,등록,현대,140,0
더 뉴 아반떼AD 1.6,13400000,38,44371,가솔린,1598,15.2,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,8900000,94,108677,디젤,1582,16.2,전륜 FF,28.6,등록,현대,128,0
아반떼AD 1.6,9600000,49,62243,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,1
아반떼AD 1.6,5990000,94,83145,디젤,1582,18.4,전륜 FF,26.5,등록,현대,136,0
아반떼AD 1.6,6990000,95,105460,디젤,1582,17.7,전륜 FF,28.6,등록,현대,136,0
아반떼MD 1.6,4990000,133,98119,가솔린,1591,16.5,전륜 FF,17,등록,현대,140,0
아반떼AD 1.6,9600000,94,85495,가솔린,1591,12,전륜 FF,16.9,등록,현대,140,0
아반떼AD 1.6,7600000,84,109725,가솔린,1591,13.7,전륜 FF,16.3,등록,현대,132,0
아반떼AD 1.6,8600000,62,95226,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,0
아반떼MD 1.6,4990000,127,77300,가솔린,1591,16.5,전륜 FF,17,등록,현대,140,0
아반떼 N 2.0,31900000,6,6230,가솔린,1998,10.4,전륜 FF,40,등록,현대,280,1
올 뉴 아반떼,17300000,30,42000,가솔린,1598,12,전륜 FF,36,미등록,현대,203,1
더 뉴 아반떼AD,15800000,58,50600,가솔린,1598,15.2,전륜 FF,15.7,미등록,현대,123,0
올 뉴 아반떼 1.6,25100000,22,22276,가솔린,1598,12.8,전륜 FF,27,등록,현대,204,1
아반떼AD,14900000,54,80800,가솔린,1591,11.6,전륜 FF,36,미등록,현대,203,1
아반떼AD,15400000,61,73798,가솔린,1591,12,전륜 FF,26.9,등록,현대,204,0
아반떼AD,13200000,69,97000,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,0
아반떼AD,12000000,62,160376,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,0
아반떼MD,3100000,135,125100,가솔린,1591,16.5,전륜 FF,17,미등록,현대,140,0
아반떼AD,15900000,62,64000,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,0
올 뉴 아반떼 1.6,23200000,28,38305,가솔린,1598,14.9,전륜 FF,15.7,등록,현대,123,1
아반떼AD,9900000,78,88860,가솔린,1591,11.6,전륜 FF,36,미등록,현대,203,0
아반떼AD,6300000,62,150000,LPG,1591,10.6,전륜 FF,15.5,미등록,현대,120,0
더 뉴 아반떼 1.6,8000000,87,83000,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
더 뉴 아반떼 1.6,8000000,116,122000,가솔린,1591,14,전륜 FF,16.9,등록,현대,140,0
아반떼 N 2.0,38000000,22,3048,가솔린,1998,10.4,전륜 FF,40,등록,현대,280,1
더 뉴 아반떼,11300000,88,5300,가솔린,1591,13.7,전륜 FF,16.3,미등록,현대,132,0
올 뉴 아반떼,19490000,35,38078,가솔린,1598,12.3,전륜 FF,27,미등록,현대,204,1
올 뉴 아반떼,16990000,34,45000,가솔린,1598,15.4,전륜 FF,15.7,미등록,현대,123,1
올 뉴 아반떼,1000000,19,11600,가솔린,1598,15.4,전륜 FF,15.7,등록,현대,123,1
아반떼AD 1.6,11000000,63,114781,LPG,1591,10.6,전륜 FF,15.5,등록,현대,120,0
아반떼MD,6200000,136,125510,가솔린,1591,16.5,전륜 FF,16.9,미등록,현대,140,0
아반떼AD 1.6,6800000,61,64441,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,0
올 뉴 아반떼,21990000,18,16000,가솔린,1598,12.3,전륜 FF,27,미등록,현대,204,1
아반떼MD 1.6,6500000,131,66500,가솔린,1591,13.9,전륜 FF,17,등록,현대,140,0
아반떼AD 1.6,12000000,78,91500,가솔린,1591,13.1,전륜 FF,16.3,등록,현대,132,0
아반떼AD,9700000,73,88610,디젤,1582,18.4,전륜 FF,26.5,미등록,현대,136,0
아반떼AD,13600000,65,62000,가솔린,1591,13.1,전륜 FF,16.3,미등록,현대,132,0
아반떼AD,12500000,82,83200,가솔린,1591,11.6,전륜 FF,36,미등록,현대,203,0
아반떼MD,6900000,109,89750,가솔린,1591,16.5,전륜 FF,17,미등록,현대,140,0
아반떼AD,17990000,54,39684,가솔린,1591,12,전륜 FF,26.9,미등록,현대,204,1
아반떼MD,6600000,121,123000,가솔린,1591,12,전륜 FF,36,미등록,현대,203,0
뉴 에쿠스 5.0,9500000,137,164586,가솔린,5038,8.8,후륜 ,52,등록,현대,430,0
뉴 에쿠스 3.8,10900000,97,157980,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 5.0,9300000,142,162503,가솔린,5038,8.8,후륜 ,52,등록,현대,430,0
뉴 에쿠스 5.0,11500000,97,235311,가솔린,5038,8.1,후륜 ,52,등록,현대,416,0
뉴 에쿠스 3.8,5600000,163,163798,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,7500000,131,210870,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,7500000,134,182887,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,15900000,112,88842,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,14900000,120,107962,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,7800000,164,194124,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,7700000,135,169826,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,10500000,138,181135,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 4.6,6900000,160,148000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 3.8,6900000,165,115000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 4.6,6000000,152,201000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 3.8,6700000,146,117000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,9100000,141,102000,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,4990000,161,211000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,6500000,126,148000,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 4.6,5990000,167,202000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 4.6,8000000,165,110000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 3.8,21000000,105,76460,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,19900000,117,74055,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,6200000,124,90000,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,8900000,146,144000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,9850000,143,121987,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,13950000,102,178248,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,7900000,165,173756,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,10200000,138,131000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,16500000,148,53000,가솔린,3778,9.3,후륜 ,36.5,미등록,현대,290,0
뉴 에쿠스,19500000,151,30570,가솔린,3778,9.3,후륜 ,36.5,미등록,현대,290,0
뉴 에쿠스 3.8,9500000,147,99481,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 4.6,5990000,167,202000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 4.6,8000000,165,110000,가솔린,4627,8.8,후륜 ,44.8,등록,현대,366,0
뉴 에쿠스 3.8,21000000,105,76460,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,19900000,117,74055,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,6200000,124,90000,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,8900000,146,144000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,9850000,143,121987,가솔린,3778,9.7,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,13950000,102,178248,가솔린,3778,8.9,후륜 ,40.3,등록,현대,334,0
뉴 에쿠스 3.8,7900000,165,173756,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스 3.8,10200000,138,131000,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,16500000,148,53000,가솔린,3778,9.3,후륜 ,36.5,미등록,현대,290,0
뉴 에쿠스,19500000,151,30570,가솔린,3778,9.3,후륜 ,36.5,미등록,현대,290,0
뉴 에쿠스 3.8,9500000,147,99481,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,13300000,168,242155,가솔린,5038,8,후륜 ,51,미등록,현대,400,0
뉴 에쿠스,11000000,154,132663,가솔린,3778,9.3,후륜 ,36.5,등록,현대,290,0
뉴 에쿠스,12900000,113,181636,가솔린,3778,8.9,후륜 ,40.3,미등록,현대,334,0
뉴 에쿠스,17400000,132,96248,가솔린,3778,8.9,후륜 ,40.3,미등록,현대,334,0
뉴 에쿠스,16500000,117,191000,가솔린,3778,8.9,후륜 ,40.3,미등록,현대,334,0
더 뉴 그랜드스타렉스 2.5,17600000,54,143611,디젤,2497,9.3,후륜 ,46,등록,현대,175,0
더 뉴 그랜드스타렉스 2.5,14300000,51,134495,디젤,2497,9.3,후륜 ,46,등록,현대,175,0
더 뉴 그랜드스타렉스 2.5,15800000,55,118924,디젤,2497,9.3,후륜 ,46,등록,현대,175,0
그랜드스타렉스 2.5,6300000,122,142039,디젤,2497,11.6,후륜 ,41,등록,현대,174,0
더 뉴 그랜드스타렉스 2.5,15900000,59,88156,디젤,2497,9.3,후륜 ,46,등록,현대,175,0
그랜드스타렉스 2.5,9400000,176,112850,디젤,2497,11.6,후륜 ,41,등록,현대,174,0
그랜드스타렉스,11900000,133,85890,디젤,2497,11.6,후륜 ,41,등록,현대,174,0
그랜드스타렉스,14100000,91,58456,디젤,2497,11.6,후륜 ,41,등록,현대,174,0
그랜드스타렉스 2.5,9200000,73,203990,디젤,2497,12,후륜 ,46,등록,현대,175,0
그랜드스타렉스 2.5,15600000,90,76810,디젤,2497,11.5,후륜 ,41,등록,현대,174,0
그랜드스타렉스,12790000,108,83923,디젤,2497,12,후륜 ,46,등록,현대,175,0
